"ID","OBJECTID","Value","Count","WHRALL","LIFE_FORM","WHRNUM","WHRNAME","WHRTYPE","WHRSIZE","WHRDENSITY","WHR10NUM","WHR10NAME","WHR13NUM","WHR13NAME","SOURCE_NAME","SOURCE_YEAR"
21,22,22,48994,"RFR4P","CONIFER",45,"Red Fir","RFR","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
22,23,23,12578,"RFR4S","CONIFER",45,"Red Fir","RFR","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
23,24,24,38523,"SCN4M","CONIFER",48,"Subalpine Conifer","SCN","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
24,25,25,10498,"RFR5P","CONIFER",45,"Red Fir","RFR","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
25,26,26,292860,"BARXX","BARREN/OTHER",6,"Barren","BAR","X","X",20,"Barren/Other",20,"Barren/Other","CALVEG-NorthCoastNE",2007
26,27,27,16786,"WTMXX","HERBACEOUS",59,"Wet Meadow","WTM","X","X",100,"Wetland",100,"Wetland","CALVEG-NorthCoastNE",2007
27,28,28,467479,"AGSXX","HERBACEOUS",3,"Annual Grassland","AGS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNE",2007
28,29,29,16160,"SCN4S","CONIFER",48,"Subalpine Conifer","SCN","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
29,30,30,23905,"URBXX","URBAN",53,"Urban","URB","X","X",80,"Urban",80,"Urban","CALVEG-NorthCoastNE",2007
30,31,31,17737,"SCN3P","CONIFER",48,"Subalpine Conifer","SCN","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
31,32,32,15911,"SCN3S","CONIFER",48,"Subalpine Conifer","SCN","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
32,33,33,3511,"RFR2S","CONIFER",45,"Red Fir","RFR","2","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
33,34,34,29006,"SCN4P","CONIFER",48,"Subalpine Conifer","SCN","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
34,35,35,206124,"WFR4D","CONIFER",58,"White Fir","WFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
35,36,36,5598,"RFR2P","CONIFER",45,"Red Fir","RFR","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
36,37,37,116386,"KMC3M","CONIFER",27,"Klamath Mixed Conifer","KMC","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
37,38,38,4053,"RFR2M","CONIFER",45,"Red Fir","RFR","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
38,39,39,161817,"DFR4M","CONIFER",14,"Douglas Fir","DFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
39,40,40,132445,"WFR4M","CONIFER",58,"White Fir","WFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
40,41,41,110832,"MHW4M","HARDWOOD",36,"Montane Hardwood","MHW","4","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
41,42,42,16065,"MHW4P","HARDWOOD",36,"Montane Hardwood","MHW","4","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
42,43,43,400492,"MHW3D","HARDWOOD",36,"Montane Hardwood","MHW","3","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
43,44,44,58547,"MHC3M","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
44,45,45,380976,"MHW4D","HARDWOOD",36,"Montane Hardwood","MHW","4","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
45,46,46,77105,"DFR3M","CONIFER",14,"Douglas Fir","DFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
46,47,47,149798,"DFR3D","CONIFER",14,"Douglas Fir","DFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
47,48,48,575653,"MHC4D","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
48,49,49,673147,"DFR4D","CONIFER",14,"Douglas Fir","DFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
49,50,50,38658,"WFR3D","CONIFER",58,"White Fir","WFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
50,51,51,1104,"SCN2M","CONIFER",48,"Subalpine Conifer","SCN","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
51,52,52,1244,"SCN2P","CONIFER",48,"Subalpine Conifer","SCN","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
52,53,53,65305,"DFR5M","CONIFER",14,"Douglas Fir","DFR","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
53,54,54,113833,"KMC5M","CONIFER",27,"Klamath Mixed Conifer","KMC","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
54,55,55,195367,"DFR3D","CONIFER",14,"Douglas Fir","DFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
55,56,56,140468,"MHC4M","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
56,57,57,195116,"MHC3D","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
57,58,58,29662,"KMC2D","CONIFER",27,"Klamath Mixed Conifer","KMC","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
58,59,59,71922,"KMC4P","CONIFER",27,"Klamath Mixed Conifer","KMC","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
59,60,60,29224,"WFR3M","CONIFER",58,"White Fir","WFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
60,61,61,70530,"DFR4M","CONIFER",14,"Douglas Fir","DFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
61,62,62,17617,"WFR3P","CONIFER",58,"White Fir","WFR","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
62,63,63,43546,"DFR3M","CONIFER",14,"Douglas Fir","DFR","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
63,64,64,45812,"WFR4P","CONIFER",58,"White Fir","WFR","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
64,65,65,218,"PGSXX","HERBACEOUS",39,"Perennial Grassland","PGS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNE/CALFIRE update",2007
65,66,66,23,"RFR4P","CONIFER",45,"Red Fir","RFR","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
66,67,67,3610,"WFR2D","CONIFER",58,"White Fir","WFR","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
67,68,68,14877,"KMC2P","CONIFER",27,"Klamath Mixed Conifer","KMC","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
68,69,69,26530,"KMC2M","CONIFER",27,"Klamath Mixed Conifer","KMC","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
69,70,70,4,"RFR4M","CONIFER",45,"Red Fir","RFR","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
70,71,71,2157,"AGSXX","HERBACEOUS",3,"Annual Grassland","AGS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNE/CALFIRE update",2007
71,72,72,16691,"KMC4S","CONIFER",27,"Klamath Mixed Conifer","KMC","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
72,73,73,61988,"WFR5M","CONIFER",58,"White Fir","WFR","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
73,74,74,28085,"DFR2D","CONIFER",14,"Douglas Fir","DFR","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
74,75,75,15957,"MHC2M","CONIFER",35,"Montane Hardwood-Conifer","MHC","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
75,76,76,779228,"MCHXX","SHRUB",32,"Mixed Chaparral","MCH","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNE",2007
76,77,77,8095,"WFR5P","CONIFER",58,"White Fir","WFR","5","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
77,78,78,18,"JUN5D","CONIFER",26,"Juniper","JUN","5","D",30,"Conifer",32,"Conifer Woodland","CALVEG-NorthCoastNE",2007
78,79,79,15742,"JUN4M","CONIFER",26,"Juniper","JUN","4","M",30,"Conifer",32,"Conifer Woodland","CALVEG-NorthCoastNE",2007
79,80,80,25663,"MHC2D","CONIFER",35,"Montane Hardwood-Conifer","MHC","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
80,81,81,16324,"SCN4D","CONIFER",48,"Subalpine Conifer","SCN","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
81,82,82,13205,"KMC3S","CONIFER",27,"Klamath Mixed Conifer","KMC","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
82,83,83,6193,"JUN4D","CONIFER",26,"Juniper","JUN","4","D",30,"Conifer",32,"Conifer Woodland","CALVEG-NorthCoastNE",2007
83,84,84,134355,"PPN4D","CONIFER",42,"Ponderosa Pine","PPN","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
84,85,85,11155,"DFR2M","CONIFER",14,"Douglas Fir","DFR","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
85,86,86,9341,"SCN3M","CONIFER",48,"Subalpine Conifer","SCN","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
86,87,87,6502,"DFR4S","CONIFER",14,"Douglas Fir","DFR","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
87,88,88,46651,"PPN5D","CONIFER",42,"Ponderosa Pine","PPN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
88,89,89,226650,"LACXX","WATER",28,"Lacustrine","LAC","X","X",90,"Water",90,"Water","CALVEG-NorthCoastNE",2007
89,90,90,29350,"DFR4P","CONIFER",14,"Douglas Fir","DFR","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
90,91,91,32992,"DFR3P","CONIFER",14,"Douglas Fir","DFR","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
91,92,92,72419,"MHW3P","HARDWOOD",36,"Montane Hardwood","MHW","3","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
92,93,93,1747,"SCN3D","CONIFER",48,"Subalpine Conifer","SCN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
93,94,94,38665,"PPN3D","CONIFER",42,"Ponderosa Pine","PPN","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
94,95,95,7358,"PPN2P","CONIFER",42,"Ponderosa Pine","PPN","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
95,96,96,189053,"MHW3M","HARDWOOD",36,"Montane Hardwood","MHW","3","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
96,97,97,1798,"WFR5S","CONIFER",58,"White Fir","WFR","5","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
97,98,98,4203,"PPN2D","CONIFER",42,"Ponderosa Pine","PPN","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
98,99,99,10452,"WFR4S","CONIFER",58,"White Fir","WFR","4","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
99,100,100,6425,"PPN2M","CONIFER",42,"Ponderosa Pine","PPN","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
100,101,101,6427,"WFR2M","CONIFER",58,"White Fir","WFR","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
101,102,102,22402,"MHW2P","HARDWOOD",36,"Montane Hardwood","MHW","2","P",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
102,103,103,5075,"WFR3S","CONIFER",58,"White Fir","WFR","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
103,104,104,42058,"MHC3P","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
104,105,105,5492,"WFR2P","CONIFER",58,"White Fir","WFR","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
105,106,106,39481,"MHC4P","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
106,107,107,2343,"PPN2S","CONIFER",42,"Ponderosa Pine","PPN","2","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
107,108,108,5426,"PPN3S","CONIFER",42,"Ponderosa Pine","PPN","3","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
108,109,109,8497,"MHC2P","CONIFER",35,"Montane Hardwood-Conifer","MHC","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
109,110,110,36367,"MHW2M","HARDWOOD",36,"Montane Hardwood","MHW","2","M",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
110,111,111,7259,"KMC2S","CONIFER",27,"Klamath Mixed Conifer","KMC","2","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
111,112,112,34851,"PPN3P","CONIFER",42,"Ponderosa Pine","PPN","3","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
112,113,113,47578,"MHW2D","HARDWOOD",36,"Montane Hardwood","MHW","2","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
113,114,114,35004,"PPN3M","CONIFER",42,"Ponderosa Pine","PPN","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
114,115,115,20286,"MHW3S","HARDWOOD",36,"Montane Hardwood","MHW","3","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
115,116,116,6853,"MHW2S","HARDWOOD",36,"Montane Hardwood","MHW","2","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
116,117,117,84819,"PPN4M","CONIFER",42,"Ponderosa Pine","PPN","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
117,118,118,356,"MCHXX","SHRUB",32,"Mixed Chaparral","MCH","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNE/CALFIRE update",2007
118,119,119,14627,"PPN4P","CONIFER",42,"Ponderosa Pine","PPN","4","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
119,120,120,17,"MHC4D","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
120,121,121,1183,"MHW4D","HARDWOOD",36,"Montane Hardwood","MHW","4","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
121,122,122,8212,"DFR2P","CONIFER",14,"Douglas Fir","DFR","2","P",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
122,123,123,14477,"DFR2D","CONIFER",14,"Douglas Fir","DFR","2","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
123,124,124,36,"MHC5D","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
124,125,125,196273,"MHC5D","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
125,126,126,3870,"KMC5S","CONIFER",27,"Klamath Mixed Conifer","KMC","5","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
126,127,127,26613,"SCN5D","CONIFER",48,"Subalpine Conifer","SCN","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
127,128,128,21621,"SCN5M","CONIFER",48,"Subalpine Conifer","SCN","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
128,129,129,9102,"MHW4S","HARDWOOD",36,"Montane Hardwood","MHW","4","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
129,130,130,20,"RDW4M","CONIFER",44,"Redwood","RDW","4","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2009
130,131,131,366,"RDW4D","CONIFER",44,"Redwood","RDW","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",1998
131,132,132,13,"BARXX","BARREN/OTHER",6,"Barren","BAR","X","X",20,"Barren/Other",20,"Barren/Other","CALVEG-NorthCoastNW",2008
132,133,133,10,"RDW3M","CONIFER",44,"Redwood","RDW","3","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2009
133,134,134,69,"URBXX","URBAN",53,"Urban","URB","X","X",80,"Urban",80,"Urban","CALVEG-NorthCoastNW",1998
134,135,135,281,"URBXX","URBAN",53,"Urban","URB","X","X",80,"Urban",80,"Urban","CALVEG-NorthCoastNW",2009
135,136,136,10152,"PASXX","HERBACEOUS",72,"Pasture","PAS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNW",1998
136,137,137,615,"PASXX","HERBACEOUS",72,"Pasture","PAS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNW",2009
137,138,138,22847,"MHW5D","HARDWOOD",36,"Montane Hardwood","MHW","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNE",2007
138,139,139,1280,"PASXX","HERBACEOUS",72,"Pasture","PAS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNW",1994
139,140,140,167831,"PASXX","HERBACEOUS",72,"Pasture","PAS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNW",2007
140,141,141,27579,"MHC5M","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
141,142,142,524302,"MHC5D","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
142,143,143,156507,"CSCXX","SHRUB",13,"Coastal Scrub","CSC","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNW",2007
143,144,144,277,"RDW5D","CONIFER",44,"Redwood","RDW","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",1998
144,145,145,666806,"RDW5D","CONIFER",44,"Redwood","RDW","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
145,146,146,362958,"RDW4D","CONIFER",44,"Redwood","RDW","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
146,147,147,878011,"MHC4D","CONIFER",35,"Montane Hardwood-Conifer","MHC","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
147,148,148,19316,"DFR2M","CONIFER",14,"Douglas Fir","DFR","2","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE",2007
148,149,149,92271,"MRI4D","HARDWOOD",37,"Montane Riparian","MRI","4","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",2007
149,150,150,66,"CSCXX","SHRUB",13,"Coastal Scrub","CSC","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNW",1998
150,151,151,106076,"MHC5D","CONIFER",35,"Montane Hardwood-Conifer","MHC","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",1998
151,152,152,1162702,"DFR4D","CONIFER",14,"Douglas Fir","DFR","4","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
152,153,153,1867199,"DFR5D","CONIFER",14,"Douglas Fir","DFR","5","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
153,154,154,34874,"RDW5M","CONIFER",44,"Redwood","RDW","5","M",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
154,155,155,100,"MRI4D","HARDWOOD",37,"Montane Riparian","MRI","4","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",1998
155,156,156,315354,"DFR3D","CONIFER",14,"Douglas Fir","DFR","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
156,157,157,13,"MRI4S","HARDWOOD",37,"Montane Riparian","MRI","4","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",1998
157,158,158,126091,"RDW3D","CONIFER",44,"Redwood","RDW","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
158,159,159,9573,"DFR2S","CONIFER",14,"Douglas Fir","DFR","2","S",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNE/CALFIRE update",2007
159,160,160,30066,"MARXX","WATER",79,"Marsh","MAR","X","X",90,"Water",90,"Water","CALVEG-NorthCoastNW",2007
160,161,161,492402,"AGSXX","HERBACEOUS",3,"Annual Grassland","AGS","X","X",60,"Herbaceous",60,"Herbaceous","CALVEG-NorthCoastNW",2007
161,162,162,51,"MRI5D","HARDWOOD",37,"Montane Riparian","MRI","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",1998
162,163,163,342527,"MHC3D","CONIFER",35,"Montane Hardwood-Conifer","MHC","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",2007
163,164,164,19891,"MHW1D","HARDWOOD",36,"Montane Hardwood","MHW","1","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",2007
164,165,165,119932,"BARXX","BARREN/OTHER",6,"Barren","BAR","X","X",20,"Barren/Other",20,"Barren/Other","CALVEG-NorthCoastNW",2007
165,166,166,5904,"MRI4S","HARDWOOD",37,"Montane Riparian","MRI","4","S",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",2007
166,167,167,3,"RDW3D","CONIFER",44,"Redwood","RDW","3","D",30,"Conifer",31,"Conifer Forest","CALVEG-NorthCoastNW",1998
167,168,168,334140,"MCPXX","SHRUB",34,"Montane Chaparral","MCP","X","X",70,"Shrub",70,"Shrub","CALVEG-NorthCoastNW",2007
168,169,169,10786,"MRI5D","HARDWOOD",37,"Montane Riparian","MRI","5","D",50,"Hardwood",51,"Hardwood Forest","CALVEG-NorthCoastNW",2007
169,170,170,85440,"CRPXX","AGRICULTURE",60,"Cropland","CRP","X","X",10,"Agriculture",10,"Agriculture","CALVEG-NorthCoastNW",2007
